,0
Lucy Rose,"Lucy Rose Parton (Born 1989) is an English singer/songwriter from Warwickshire  . 

She contributed vocals on the Bombay Bicycle Club albums Flaws, A Different Kind of Fix, and So long, See You tomorrow.

Her debut single, ""Middle of the Bed"" came out August 8th 2011, followed by two more singles: Scar, and Red Face.

Her debut album, Like I Used To, was released 21st September 2012. A solo European tour followed, starting 25th September.

Lucy Rose had previously toured the United Kingdom <a href=""https://www.last.fm/music/Lucy+Rose"">Read more on Last.fm</a>"
Mandisa,"Mandisa Diane Hundley, artistically known as 'Mandisa' (born October 1, 1976) is an American-Grammy award winning singer who rose to fame as one of the favourites in the fifth (2006) season of American Idol. Despite finishing as the overall ninth place finalist, Mandisa has gone on to become one of the most successful idol contestants of all time. Mandisa has gone on to release four studio albums, ""True Beauty"" (2007) ""Freedom"" (2009) ""What If We <a href=""https://www.last.fm/music/Mandisa"">Read more on Last.fm</a>"
McCafferty,"McCafferty is Nick Hartkop's acoustic indie dancepunk project.
The band's lineup currently consists of Nick Hartkop on guitar and vocals and Emily Hartkop on bass.
Origin: Medina, Ohio, United States

Members
Nick Hartkop – Rhythm guitar, lead vocals (2011–present)
Emily Hartkop – Bass, backing vocals (2018–present)

Former members
Evan Graham – Lead guitar (2013–2020)
Wes Easterly – Drums (2013–2020)
Chris Joecken – Bass (2013–2018)
Noah Yoder - (2013) <a href=""https://www.last.fm/music/MCCAFFERTY"">Read more on Last.fm</a>"
Moon Taxi,"Moon Taxi is an American indie-progressive rock band based in Nashville, Tennessee. The band was founded in 2006 by Trevor Terndrup (vocals, guitar), Tommy Putnam (bass), Spencer Thomson (guitar, programming), Tyler Ritter (drums), and Wes Bailey (keys) while attending Belmont University.

The band released their third full length album, Mountains Beaches Cities, via BMG on September 10th, 2013. The project was self-produced by Moon Taxi’s own guitarist <a href=""https://www.last.fm/music/Moon+Taxi"">Read more on Last.fm</a>"
NxWorries,"NxWorries (pronounced ""no worries"") is an American music duo from Los Angeles, California that consists of record producer Knxwledge and singer/rapper Anderson .Paak. They are currently signed to Stones Throw Records and have released their debut studio album Yes Lawd! on October 21, 2016.



 <a href=""https://www.last.fm/music/Nxworries"">Read more on Last.fm</a>"
OK Go,"OK Go is an American indie rock band which formed in Chicago, Illinois, United States in 1998. The band consists of Damian Kulash (guitar, vocals), Tim Nordwind (bass), Andy Ross (guitar, keyboards), and Dan Konopka (drums). The band is best known for their singles ""Get Over It"", ""A Million Ways"", ""Here It Goes Again"" and ""This Too Shall Pass"" and for their high concept, low budget, one-shot music videos. 

They play indie rock music, with influences such as Cheap Trick, T Rex and Queen. <a href=""https://www.last.fm/music/OK+Go"">Read more on Last.fm</a>"
Parquet Courts,"Parquet Courts is a band from New York City.  At the center of the group is A. Savage, who at this point is known for his collaborations with projects like Fergus & Geronimo, Teenage Cool Kids and Wiccans. Savage is joined by three other musicians (“three quarters Texans and three quarters Pisces”) and describes the bands’ debut release as THE FALL meets NEIL YOUNG. On the band’s debut release, “American Specialties”, this all makes sense. <a href=""https://www.last.fm/music/Parquet+Courts"">Read more on Last.fm</a>"
PREP,"Comprised of a hip-hop producer, a classical composer, a house DJ, and a singer songwriter with credits including Drake, Kwabs, Foxes, Raleigh Ritchie, and Klangkarussell, PREP fuse elements of R&B, funk, and jazz into a melting pot of blissfully-styled pop. A smooth, soulful track built on textured instrumentation and delicately earnest vocals, ""Who's Got You Singing Again"" is PREP's first new single since their 2015 debut with tracks ""Cheapest Flight"" and ""Sunburnt Through The Glass <a href=""https://www.last.fm/music/Prep"">Read more on Last.fm</a>"
PUP,"Pup (stylized as PUP) is a Canadian punk rock band formed in Toronto, Ontario, Canada formerly called Topanga. They released their debut self-titled album on October 8, 2013 on Royal Mountain Records. In December 2013, they signed with SideOneDummy Records and released their first LP in the United States on April 8, 2014.

Members:
Zack Mykula (Drums & Vocals)
Nestor Chumak (Bass & Vocals)
Steve Sladkowski (Guitar & Vocals)
Stefan Babcock (Vocals & Guitar) <a href=""https://www.last.fm/music/PUP"">Read more on Last.fm</a>"
Radical Face,"Radical Face is the solo project of Ben Cooper (mainly of Electric President fame). Cooper, from Jacksonville Beach, FL is the sole member of the band, although he has enlisted the help of fellow Electric President Alex Kane, Cooper's friend Mark Hubbard and his brother Emeral. The album ""Ghost"" was originally scheduled to be released in late 2006, but was delayed to be remastered by the label (Morr Music), and it was subsequently released in March 2007. <a href=""https://www.last.fm/music/Radical+Face"">Read more on Last.fm</a>"
Rationale,"There are multiple artists with this name:

1.) Tinashe Fazakerley (born April 4, 1984), now professionally known as Rationale is a Zimbabwe-born British singer-songwriter, formerly known as Tinashé. He is known for his soulful R&B and indie pop style with electric influences. His alias Tinashé, was known for his synthpop sound and his African influences.

Fazakerley was born in the Harare township of Highfield. At the age of 9, he and his three siblings moved to the United Kingdom in the Camberwell district of London <a href=""https://www.last.fm/music/Rationale"">Read more on Last.fm</a>"
Ryan Bingham,"George Ryan Bingham (born March 31, 1981 in Hobbs, New Mexico) is an American folk rock/Americana singer/songwriter. In addition to his solo albums, Bingham recorded two albums as Ryan Bingham & The Dead Horses.

Bingham dropped out of school at 17 and was introduced to rodeo bull riding. He learned the emotional aspect of pain early in life, when shuttling between small towns and family members in the hardscrabble ranching communities of West Texas and Hobbs <a href=""https://www.last.fm/music/Ryan+Bingham"">Read more on Last.fm</a>"
Samm Henshaw,"Iniabasi Samuel Henshaw, professionally known as Samm Henshaw (born 22 February 1994), is an english singer, songwriter and record producer, signed to Columbia Records. Henshaw has garnered mainstream radio support from BBC Radio 1 and was handpicked by James Bay and Chance the Rapper for tour support. <a href=""https://www.last.fm/music/Samm+Henshaw"">Read more on Last.fm</a>"
slchld,"<a href=""https://www.last.fm/music/SLCHLD"">Read more on Last.fm</a>"
Slowdive,"Slowdive is a dream pop/shoegaze band that formed in 1989 in Reading, England, United Kingdom. Signed to Creation Records in 1990 and initially championed by the British music press, the band scored a UK top forty entry with their debut album Just For a Day. 

The band consists of Rachel Goswell (vocals/guitar), Neil Halstead  (vocals/guitar), Nick Chaplin (bass), Christian Savill (guitar), and Simon Scott (drums, 1990-1994, 2014-present); additionally, Ian McCutcheon replaced Scott from 1994-1995. <a href=""https://www.last.fm/music/Slowdive"">Read more on Last.fm</a>"
Sure Sure,"SURE SURE:
Chris - keys, synths, singing |Charlie - guitars, singing | Kevin - drums, percussion, singing | Michael - production, live bass, percussion, engineering, mixing, mastering <a href=""https://www.last.fm/music/Sure+Sure"">Read more on Last.fm</a>"
Temple Of The Dog,"Temple of the Dog was an American grunge supergroup that formed in Seattle, Washington in 1990. It was conceived by vocalist Chris Cornell of Soundgarden as a tribute to his friend, the late Andrew Wood, lead singer of the bands Malfunkshun and Mother Love Bone. The lineup included Stone Gossard on rhythm guitar, Jeff Ament on bass guitar (both ex-members of Mother Love Bone), Mike McCready (Pearl Jam) on lead guitar, and Matt Cameron (Soundgarden and later Pearl Jam) on drums. <a href=""https://www.last.fm/music/Temple+of+the+Dog"">Read more on Last.fm</a>"
The Menzingers,"The Menzingers originally formed after the dissolution of Bob And The Sagets, a band local to the Scranton/Wilkes-Barre area of Pennsylvania. With the addition of Greg Barnett the band recorded a demo/self-released album ""A Lesson In The Abuse Of Information Technology"" in 2006.

Shortly thereafter they were signed by Go-Kart Records and re-recorded the songs from ""A Lesson"" and re-released their album with the addition of some new tracks.

At the Fest VII in Gainesville <a href=""https://www.last.fm/music/The+Menzingers"">Read more on Last.fm</a>"
The Wonder Years,"The Wonder Years is an American pop punk band from Lansdale, Pennsylvania, United States that formed in June 2005. Since their conception, they have released five full-length albums, two EPs, and several splits/compilations. The group is currently signed to Hopeless Records. Their name originates from a paper that lead vocalist, Dan 'Soupy' Campbell, read written by his after-school education teacher titled ""The Wonder Years""

Current members

    Matt Brasch – guitar, backing vocals <a href=""https://www.last.fm/music/The+Wonder+Years"">Read more on Last.fm</a>"
Townes Van Zandt,"John Townes Van Zandt (March 7, 1944 – January 1, 1997), better known as Townes Van Zandt, was a critically acclaimed American singer-songwriter. Much of Van Zandt’s musical canon--songs such as ""Pancho and Lefty"", ""For the Sake of the Song"", ""Tecumseh Valley"", ""Rex's Blues"", and ""To Live is to Fly""--are widely considered masterpieces of American folk music. His musical style is often described as melancholy in sound and delivery with rich and poetic lyrics. <a href=""https://www.last.fm/music/Townes+Van+Zandt"">Read more on Last.fm</a>"
Unspoken,"<a href=""https://www.last.fm/music/Unspoken"">Read more on Last.fm</a>"
VÉRITÉ,"Vérité is the name of more than one artist:
1) pop singer-songwriter from New York, U.S.
2) Australian pop duo

1) Kelsey Byrne (born in 1990), also known by her stage name VÉRITÉ, is an American pop singer-songwriter based in Brooklyn, New York. Her first single ""Strange Enough"" was self-released in July 2014, reaching No. 1 on Hype Machine and becoming the #1 Most Viral Twitter Artist the week of release. Described variously as indie pop or alt pop <a href=""https://www.last.fm/music/+noredirect/V%C3%A9rit%C3%A9"">Read more on Last.fm</a>"
Westside Gunn,"IF THE DEVIL WEARS PRADA THEN “HITLER WEARS HERMES”
Westside Gunn. Gritty, grimy with a mainstream flow. Fly at its best, WSG is an artist from the streets of Buffalo, NY who’s style has been compared to the likes of early Nas, Raekwon & AZ. Recently having been released, and seen in the DONDIVA with Sly Green, Gunn came out the cell running. A founding member of the rap crew SE GANG, he showcases his skillfully selected bars, braggadocios flow mixed with 90's underground boom bap making him a radio ready icon amongst fashion lovers <a href=""https://www.last.fm/music/Westside+Gunn"">Read more on Last.fm</a>"
Allah-Las,"Allah-Las are an American rock band from Los Angeles, California, formed in 2008 around a mutual love for records, Los Angeles history, and the beach. The band members are all surfers and cover the city from the East Side (Mt. Washington) to way out West (Venice Beach) - and their sound reflects the geography of the city. The group consists of Miles Michaud, singer and guitarist, Pedrum Siadatian, electric guitar and vocals, Spencer Dunham, Electric Bass and vocals, and Matthew Correia, drums, percussion and vocals. <a href=""https://www.last.fm/music/Allah-Las"">Read more on Last.fm</a>"
Anna Wise,"Anna Wise is a singer, who has independently released music as a member of bands Sonnymoon and Built To Fade. She became more widely known for her collaborations with rapper Kendrick Lamar and hip hop group CunninLynguists. She won a Grammy Award for her collaboration with Lamar, ""These Walls"".

Anna Wise began her musical career with the band Sonnymoon, a collaboration with her and Dane Orr, who both met while studying at Berklee College of Music. <a href=""https://www.last.fm/music/Anna+Wise"">Read more on Last.fm</a>"
Best Coast,"Best Coast is a surf pop band that formed in Los Angeles, California in 2009. The band comprises Bethany Cosentino (vocals, guitar) and Bobb Bruno (lead guitar). Best Coast released their debut album, ""Crazy for You,"" on July 27, 2010, on Mexican Summer Records. The album debuted at No. 37 on the Billboard Hot 100. Songfacts reports that actress Drew Barrymore directed the music video for their track Our Deal.

Beach blanket lo-fi pop from Bethany Cosentino <a href=""https://www.last.fm/music/Best+Coast"">Read more on Last.fm</a>"
Beta Radio,"Beta Radio is an American band from Wilmington, North Carolina. The group consists of Benjamin Mabry and Brent Holloman. Stylistically, their music features an amalgam of folk, indie, chamber pop, rock and Americana influences.

Musically reminiscent at times of Bon Iver’s atmosphere heavy For Emma, Forever Ago or the Grateful Dead’s “Mountains of the Moon” from their 1969 release Aoxomoxoa, the sonic landscape of the band's album Seven Sisters is sparse but far from empty. <a href=""https://www.last.fm/music/Beta+Radio"">Read more on Last.fm</a>"
Billy Bragg,"Billy Bragg (Stephen William Bragg, Barking, Essex, England, 20 December, 1957)  is an English singer, songwriter and left-wing activist. His music blends elements of folk music, punk rock and protest songs, and his lyrics mostly deal with political or romantic themes.

In 1977, Bragg formed the punk rock/pub rock band Riff Raff, and toured London's pubs and clubs. The band released a series of singles, which did not receive wide exposure. He also worked in Guy Norris Records in Barking. <a href=""https://www.last.fm/music/Billy+Bragg"">Read more on Last.fm</a>"
BOWKYLION,"<a href=""https://www.last.fm/music/bowkylion"">Read more on Last.fm</a>"
Brad Mehldau,"Brad Mehldau is an American jazz pianist born on August 23, 1970 in Jacksonville, Florida.  He plays original compositions and jazz standards, as well as interpretations of non-jazz songs by The Beatles, Nick Drake, Radiohead and Soundgarden, for example. He has also contributed to movie soundtracks, including Midnight In The Garden of Good and Evil (1997), Eyes Wide Shut (1999), Space Cowboys (2000), The Million Dollar Hotel (2000). 

In 1994 he founded Brad Mehldau Trio <a href=""https://www.last.fm/music/Brad+Mehldau"">Read more on Last.fm</a>"
Candlebox,"Candlebox is a rock band from Seattle, Washington. Formed in December 1991, they originally named the band Uncle Duke and later changed it as a tribute to a song by Midnight Oil. They were sometimes looked down upon by grunge fans for their style, which was considered by many to be a derivative version of true grunge, and their commercial success suffered as a result. Despite this, the band played the Seattle club circuit during the early 1990s to <a href=""https://www.last.fm/music/Candlebox"">Read more on Last.fm</a>"
Connan Mockasin,"Connan Mockasin (born Connan Tant Hosford) is a bubble pop/psychedelic pop musician from Te Awanga, New Zealand.

Connan originally started a ""blues-pop"" band whilst living in Wellington, New Zealand, known as Connan and the Mockasins. The group consisted of Connan Hosford (vocals, guitar), Ross Walker (upright acoustic bass) and Seamus Ebbs (drums).

In April–May 2006, the band released their second EP, Uuu It's Teasy, and toured New Zealand to promote the album. <a href=""https://www.last.fm/music/Connan+Mockasin"">Read more on Last.fm</a>"
Emily Burns,"Emily Burns is a 17 year old singer/songwriter, currently in a production contract with Cave Productions at Abbey Road Studios in London. 

http://www.youtube.com/TheBurnsEmily
http://www.soundcloud.com/emilyburnsuk <a href=""https://www.last.fm/music/Emily+Burns"">Read more on Last.fm</a>"
FEVER 333,"Another page for the American rock band THE FEVER 333. 

The Fever 333 is an American rock band from Los Angeles comprised of vocalist Jason Aalon Butler [ex-letlive.], drummer Aric Improta [Night Verses], and guitarist Stephen Harrison [ex-the Chariot].
 <a href=""https://www.last.fm/music/Fever+333"">Read more on Last.fm</a>"
Filter,"Filter (stylized as FILTER) is an alternative rock group formed in 1993 in Cleveland, Ohio by Richard Patrick and guitarist/programmer Brian Liesegang, who later left the band in 1997 to form Ashtar Command with Chris Holmes. Filter has released five studio albums

Their first album, Short Bus, was released in 1995. The album was commercially successful, and included the hit single ""Hey Man, Nice Shot"". The song was somewhat controversial, as it was seen as capitalizing on the public suicide of Budd Dwyer. <a href=""https://www.last.fm/music/Filter"">Read more on Last.fm</a>"
Frankie Stew and Harvey Gunn,"<a href=""https://www.last.fm/music/Frankie+Stew+and+Harvey+Gunn"">Read more on Last.fm</a>"
FRND,"<a href=""https://www.last.fm/music/frnd"">Read more on Last.fm</a>"
Generationals,"The two men behind the creation of Generationals - Ted Joyner and Grant Widmer - don't know what they've done. They couldn't possibly have that sort of clairvoyance to perceive the effect that one of the songs they wrote has had on the few and will have on the many before the year is up. 

The song in question - ""When They Fight They Fight"" - is a HIT recording the likes of which summers cream for, the likes of which makes everyone go a little woozy and a lot bananas. <a href=""https://www.last.fm/music/Generationals"">Read more on Last.fm</a>"
Goldfrapp,"Goldfrapp are an English electronic music duo from London, formed in 1999. The duo consists of Alison Goldfrapp (vocals, synthesizer) and Will Gregory (synthesizer). Despite favourable reviews and a short-listing for the Mercury Prize, their 2000 début studio album Felt Mountain did not chart highly. Goldfrapp's second album Black Cherry, which incorporated glam rock and synthpop sounds into their music, was released in 2003. The album influenced the same dance-oriented sound of their third album Supernature. <a href=""https://www.last.fm/music/Goldfrapp"">Read more on Last.fm</a>"
Good Morning,"Good Morning are a two piece recording project made up of Stefan Blair and Liam Parsons from Melbourne, Australia. The two met in high school and have been writing songs ever since. In 2013, they went halvies in a Foxtex 4 track tape machine; Good Morning is the result of that investment. They have released two mildly received EPs, Shawcross and Glory, and some similarly received singles. In 2018 their debut LP Prize // Reward was released via Bedroom Suck Records; the band followed that up with 2019's The Option <a href=""https://www.last.fm/music/Good+Morning"">Read more on Last.fm</a>"
Great Good Fine Ok,"Great Good Fine Ok are an electronic act from Brooklyn.  <a href=""https://www.last.fm/music/Great+Good+Fine+OK"">Read more on Last.fm</a>"
Hiss Golden Messenger,"Hiss Golden Messenger is a folk country band from Durham, North Carolina, led by MC Taylor.  The mainstays of Hiss Golden Messenger are M.C. Taylor and Scott Hirsch, formerly of Ex-Ignota and The Court & Spark.  Hiss Golden Messenger stretches out into the improv-rock territory of Traffic and the Grateful Dead and beyond. They signed with Merge Records in 2014.

Major releases include Country Hai East Cotton (2009), Bad Debt (2010), Poor Moon (2011) <a href=""https://www.last.fm/music/Hiss+Golden+Messenger"">Read more on Last.fm</a>"
HYUKOH,"hyukoh (Korean: 혁오) are a South Korean indie band from the Hongdae area of Seoul, South Korea. The band released their debut extended play ""20"" on September 18, 2014. The band consists of Oh Hyuk (lead vocals, rhythm guitar), Im Dong-gun (bass guitar), Im Hyun-je (lead guitar) and Lee In-woo (drums).

Band frontman and principal songwriter Oh Hyuk was born in South Korea, moving to China with his family at only 5 months of age and spending most of his teens in Beijing. <a href=""https://www.last.fm/music/hyukoh"">Read more on Last.fm</a>"
Icon For Hire,"Icon For Hire is a rock band formed in 2007 from Decatur, Illinois. The current lineup consists of frontwoman, vocalist Ariel Bloomer, better known as Ariel alone and guitarist Shawn Jump.

Icon For Hire has released three full length albums: Scripted, Icon For Hire and YOU CAN'T KILL US.

Released in 2011, their first album Scripted shattered first-week sales becoming the highest new artist debut in Tooth & Nail Records history. The record debuted on the Billboard Top 200, at No. <a href=""https://www.last.fm/music/Icon+for+Hire"">Read more on Last.fm</a>"
Jukebox The Ghost,"Hailing from Philadelphia, Jukebox the Ghost writes a fresh breed of melodic pop tunes driven by fiery rock momentum. With quirky lyrics and inventive songwriting, fans and critics have drawn parallels with the pop sensibility of Elvis Costello, the flamboyance of Queen, the wit of They Might Be Giants, and the creative rock of The Flaming Lips. 

Jukebox the Ghost is a Washington, D.C.-born, Brooklyn-based three-piece rock  band. The band consists of Ben Thornewill (vocals & piano), Tommy Siegel (vocals & guitar) and Jesse Kristin (drums). <a href=""https://www.last.fm/music/Jukebox+the+Ghost"">Read more on Last.fm</a>"
Kevin Garrett,"Kevin Garrett is a singer and songwriter from Brooklyn, New York. His poignant lyricism 
and musicianship have been showcased in numerous projects over the past several years. 
The Pittsburgh native has spent much of the last decade performing his original work, 
sharing the stage with James Vincent McMorrow, Emily King, Norah Jones, and Maps & Atlases
among others. Kevin recently released his debut single “Coloring,” signifying a new direction in his work  <a href=""https://www.last.fm/music/Kevin+Garrett"">Read more on Last.fm</a>"
LEISURE,"There are five artists with the name Leisure:

1) LEISURE is a band from New Zealand that launched on SoundCloud in 2015 with 'Got It Bad.'  https://soundcloud.com/theleisurecollective

Made up of five independently talented and successful members who were looking for a new creative outlet unconstrained by over-thinking, over-planning, and excessive control; LEISURE are an anomaly in the music industry. This unusual melting-pot of contributions means LEISURE is greater than the sum of its parts <a href=""https://www.last.fm/music/Leisure"">Read more on Last.fm</a>"
Lord Echo,"Lord Echo is another alias of Mike Fabulous, half of Fabulous/Arabia, as well as  a member of The Black Seeds, The Scribes of Ra, Dub Connection. <a href=""https://www.last.fm/music/Lord+Echo"">Read more on Last.fm</a>"
Lotte Kestner,"Lotte Kestner is the solo project of Anna-Lynne Williams of Trespassers William.

China Mountain (named after a mountain range in southern Oregon) was recorded over a year in her basement bedroom, and mixed in a Seattle studio with Trespassers bandmate Matt Brown. Most of the songs are built around acoustic guitar and several tracks of voice, and a bit of harmonica, keys, drums, ukulele, and harp. She was assisted on a few songs by friends - including Jeff Martin of Idaho on two of the album's tracks. <a href=""https://www.last.fm/music/Lotte+Kestner"">Read more on Last.fm</a>"
Mom Jeans.,"Mom Jeans. are a four piece emo band from Berkeley, California, United States formed in 2014. So far they have released two full length albums, 2016's Best Buds and 2018's Puppy Love.  <a href=""https://www.last.fm/music/Mom+Jeans."">Read more on Last.fm</a>"
Nick Wilson,"Nick Wilson is an Ealing, London, UK based experimental electronic music producer and film maker.

Discogs page <a href=""https://www.last.fm/music/Nick+Wilson"">Read more on Last.fm</a>"
Nomy,"Nomy (Patrick Marquardt) is a swedish rock artist from Jönköping. He was born in 1979.

Nomy is not signed to a record label, but sells his music via the internet. Nomy sings and plays guitar but does a lot of editing on his computer. His composes different types of genres from rock to ballades with influences from skate and metal. <a href=""https://www.last.fm/music/Nomy"">Read more on Last.fm</a>"
of Montreal,"of Montreal is an indie pop band which formed in Athens, Georgia, United States in 1997. The band is fronted by Kevin Barnes, who writes, composes, and plays most of the music for his albums.

They were among the second wave of groups to emerge from The Elephant 6 Recording Company and the group has a style that is typical of many Elephant 6 bands due to their interest in combining musical experimentation with the basic tenets of pop i.e. catchy melodies and sing-along choruses. <a href=""https://www.last.fm/music/of+Montreal"">Read more on Last.fm</a>"
Orla Gartland,"Orla Gartland (born 3 February 1995) is an Irish singer-songwriter from Dublin known for her quirky folk pop, bursting with personality and catchy melodies. Her songs are all tied together by her distinctive, celtic-infused vocal and trademark animated live performance. 

Following 11.5 million hits on youtube and almost 80k likes on Facebook, Gartland independently released her first single in 2011 which reached top 10 iTunes placement in over 17 countries. Since then, 2 EPs have followed. <a href=""https://www.last.fm/music/Orla+Gartland"">Read more on Last.fm</a>"
Pa Salieu,"<a href=""https://www.last.fm/music/Pa+Salieu"">Read more on Last.fm</a>"
Peter Bradley Adams,"Peter Bradley Adams is a American folk-pop singer-songwriter from Birmingham, Alabama. Before embarking on his solo career in 2005, Adams was a founding member of the critically-acclaimed folk/pop duo eastmountainsouth (formed in 2001 with Kat Maslich-Bode). Since eastmountainsouth split in 2004, Adams has garnered critical acclaim as a solo artist: In May 2009, ""Leavetaking"" earned IAP's ""Best CD's of 2008"" Award for Best Singer-Songwriter-Male. Adams released his third solo album titled ""Traces"" with Sarathan Records on October 20, 2009. <a href=""https://www.last.fm/music/Peter+Bradley+Adams"">Read more on Last.fm</a>"
Pond,"There are three bands called Pond.


1) Pond is an Perth, Australia band made up of Jay Watson (also of Tame Impala), Nick Allbrook (ex-Tame Impala), Shiny Joe Ryan, Jamie Terry, and James Ireland. Pond is free-spirited psychedelic garage-glam of the highest order from some very young, very talented 'Perth-onalities.' It all presents an opportunity for the members to change instruments more freely live and experiment with recording. Pond is a hard band to pin down--not that you'll want to. <a href=""https://www.last.fm/music/Pond"">Read more on Last.fm</a>"
Roosevelt,"Roosevelt (born Marius Lauber in September 1990) is a German singer, songwriter and producer from Viersen. He is signed to Greco-Roman.

His first project was Beat!Beat!Beat!, an indie teenage band where he was the drummer. Years later the band separated and he became a soloist.

He then released his acclaimed debut EP 'Elliot' in 2013. The lead single 'Elliot' was named as Pitchfork's 'Best New Track'. Roosevelt then released the double-A side 'Night Moves/Hold On' in 2015 on Greco-Roman which continued a warm synth-pop <a href=""https://www.last.fm/music/Roosevelt"">Read more on Last.fm</a>"
Saving Abel,"Saving Abel is a post-grunge rock band from Corinth, Mississippi, formed in 2004 by Jared Weeks and Jason Null. The band's name references the biblical story of Cain and Abel. Band member Jason Null came up with the name saying “I Googled the story of Cain and Abel and found a line about ‘there was no saving Abel,’ which just jumped out at me.” Up to date the band has released two studio albums, the self-titled album Saving Abel in 2008 and Miss America in 2010 <a href=""https://www.last.fm/music/Saving+Abel"">Read more on Last.fm</a>"
SBTRKT,"SBTRKT is Aaron Jerome, a producer based in London. He performs behind a mask every time he plays out.  

5 things about SBTRKT:
1) His live show includes his main collaborator Sampha on vocals and keyboards.
2) The name came about to create a musical identity separate from any single person.
3) Much of the music being played is electronic based but some recent material is live.
4) First gig was at fabric in Room 1 at Get Familiar.
5) SBTRKT is pronouced 'Subtract'. <a href=""https://www.last.fm/music/SBTRKT"">Read more on Last.fm</a>"
Sevdaliza,"Sevda Alizadeh (born 1 September 1987), known professionally as Sevdaliza, is an Iranian-Dutch singer and songwriter. Born in Iran and based in Rotterdam, The Netherlands, she was originally a professional basketball player before embarking upon a music career. Her music has been described as a fusion of trip hop, experimental pop, and alternative R&B, while incorporating influences from various other sources.

Sevdaliza's visually sophisticated music videos caught the attention of many international blogs and magazines <a href=""https://www.last.fm/music/Sevdaliza"">Read more on Last.fm</a>"
Sixx:A.M.,"Sixx:A.M. is a hard rock band from Los Angeles, California, formed in 2007 by Mötley Crüe bassist, Nikki Sixx, DJ Ashba (Guns N' Roses), and James Michael. The group is best known for their song ""Life Is Beautiful"". The band released The Heroin Diaries Soundtrack in 2007, which is based upon Sixx's autobiography, The Heroin Diaries. They released their sophomore effort This Is Gonna Hurt based off of Nikki's second autobiographical book of the same name on May 3, 2011.  <a href=""https://www.last.fm/music/Sixx:A.M."">Read more on Last.fm</a>"
Skunk Anansie,"Skunk Anansie is a British rock band, led by vocalist / guitarist Deborah Anne Dyer (b. 3 Aug 1967, Brixton, London, UK - aka Skin). Other members included Richard Lewis (bass - aka Cass), Martin Kent (guitar - aka Ace), Mark Richardson (drums - replaced Robbie France). They débuted with the track Little Baby Swastikkka (1994, One Little Indian). The group broke up in 2001 and reformed in 2009. Their latest release is the album ""Black Traffic"" (Sep 2012) <a href=""https://www.last.fm/music/Skunk+Anansie"">Read more on Last.fm</a>"
SonReal,"SonReal is a young and independent artist from Vancouver, B.C. Canada. With his humbling attitude and social awareness, SonReal brings a distinctive quality to the Hip-Hop genre. His mature self-understanding compels him to create a unique perspective contrary to the stereo-typical urban artist. His lyrics reflect real life issues, addressing topics such as poverty, education and social acceptance. Live instrumentals combined with natural vocal talent provide harmony and set SonReal apart from the average rapper. <a href=""https://www.last.fm/music/SonReal"">Read more on Last.fm</a>"
Sundara Karma,"Sundara Karma are an English indie pop/rock band formed in Reading, Berkshire in 2011. The band members consist of singer/guitarist Oscar Pollock, lead guitarist Ally Baty, bassist Dom Cordell and drummer Haydn Evans. The band was formed while the members were in secondary school, and they released their debut single, ""Freshbloom"", via SoundCloud in July 2013.

On 23 February 2015, they released debut EP, [italics]EP I[/italics]. The follow-up EP, [italics]EP II[/italics], was released in November 2015. <a href=""https://www.last.fm/music/Sundara+Karma"">Read more on Last.fm</a>"
Survive Said The Prophet,"Survive Said The Prophet commonly known as “SABAPURO” is formed in Tokyo, Japan in 2011. A native English speaker / bilingual vocalist, Yosh’s overwhelming singing ability and charisma at the head, it’s a miracle international rock band that consists of five talented, musicianship, and original characters.  Their outstanding musicality is based on the wide background not limited to rock but also pop, electro, hip hop and R&B to place their <a href=""https://www.last.fm/music/Survive+Said+The+Prophet"">Read more on Last.fm</a>"
The Ballroom Thieves,"The Ballroom Thieves is an American indie folk-rock band. The band began in 2010 when guitarist Martin Earley and drummer Devin Mauch were attending Stonehill College outside of Boston. <a href=""https://www.last.fm/music/The+Ballroom+Thieves"">Read more on Last.fm</a>"
The Blue Stones,"Hailing from Windsor, Ontario, The Blue Stones duo provide an edgy blues rock sound with accompanying alternative rock accents. The duo have been featured at Canadian Music Week; NXNE; FAM Fest; Shores of Erie Winefest and Orangeville Blues & Jazz Fest. In the last year, they've opened for acts such as The Stone Foxes, Current Swell, Justin Nozuka, Fitz and The Tantrums, Joel Plaskett and more. <a href=""https://www.last.fm/music/The+Blue+Stones"">Read more on Last.fm</a>"
The Postal Service,"The Postal Service was an American indie electropop band which formed in Seattle, Washington in 2001. The group consisted of  Ben Gibbard (vocals, guitar, keyboards), Jimmy Tamborello (production, programming, synthesizers) and Jenny Lewis (vocals, guitar). The band released one album ""Give Up"" in 2003 and were active until 2005. The band reunited in 2013 for a reunion tour before permanently disbanding that August.

The band started life as a side project for singer Ben Gibbard of Death Cab For Cutie and producer Jimmy Tamborello of Dntel <a href=""https://www.last.fm/music/The+Postal+Service"">Read more on Last.fm</a>"
The Stooges,"The Stooges (also known as Iggy and the Stooges) are an American rock group that was formed in Ann Arbor, Michigan, United States in 1967. Featuring a bombastic proto-punk sound, they released three studio albums before breaking up in 1974. Despite picking up  little to no chart or radio success, the band has proved to be one of the most influential rock groups of the past several decades, inspiring many artists such as the Ramones. The band reunited in 2003 <a href=""https://www.last.fm/music/The+Stooges"">Read more on Last.fm</a>"
